Test Name,FEN,Model,Persona,Raw Response,LLM Move,Best Move,Score Diff,Quality,Is Legal,Attack Metric,Defensive Metric
,6Q1/8/8/7k/6p1/PN4P1/1P6/6K1 w - - 0 53,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see no undefended enemy piece, so I’ll just improve my position with a simple queen move. <MOVE>Qg7</MOVE>",g8g7,b3c5,15,Blunder,True,13,7
,8/2N2kpp/1p6/p4p2/8/4P1P1/Pr3P1P/2R3K1 w - - 0 33,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I want to activate my rook and put pressure on the enemy rook on b2 while keeping my king safe. <MOVE>Rc2</MOVE>,c1c2,a2a4,5,Mistake,True,2,-14
,8/2N2kpp/1p6/p4p2/8/4P1P1/Pr3P1P/2R3K1 w - - 0 33,OpenRouter (openai/gpt-oss-120b:free),Defensive,I will reinforce my pawn structure and keep my pieces safe by bringing the rook behind the pawn on a2. <MOVE>Ra1</MOVE>,c1a1,a2a3,0,Best/Good,True,1,-18
,8/2N2kpp/1p6/p4p2/8/4P1P1/Pr3P1P/2R3K1 w - - 0 33,OpenRouter (openai/gpt-oss-120b:free),Aggressive,"I want to activate my knight and create threats around the black king, especially targeting f6 and the pawn on f5. <MOVE>Nd5</MOVE>",c7d5,h2h4,0,Best/Good,True,13,-12
,8/2N2kpp/1p6/p4p2/8/4P1P1/Pr3P1P/2R3K1 w - - 0 33,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see the black rook on b2 is undefended, so I’ll bring my rook to the second rank to attack it. <MOVE>Rc2</MOVE>",c1c2,c1d1,5,Mistake,True,2,-14
,2b1rrk1/6pp/2nqp3/p2p4/3P1pQ1/P1P5/1P1B1PPP/1B2R1K1 w - - 6 26,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,Capturing the pawn on f4 removes a defender and opens lines toward Black’s king. <MOVE>Qxf4</MOVE>,g4f4,g4h4,5,Mistake,True,3,-8
,2b1rrk1/6pp/2nqp3/p2p4/3P1pQ1/P1P5/1P1B1PPP/1B2R1K1 w - - 6 26,OpenRouter (openai/gpt-oss-120b:free),Defensive,I will eliminate the dangerous pawn on f4 to improve my position while keeping everything well defended. <MOVE>Qxf4</MOVE>,g4f4,g4h4,5,Mistake,True,3,-8
,2b1rrk1/6pp/2nqp3/p2p4/3P1pQ1/P1P5/1P1B1PPP/1B2R1K1 w - - 6 26,OpenRouter (openai/gpt-oss-120b:free),Aggressive,A direct queen sacrifice on g7 forces the king to decide and opens lines toward the black king. <MOVE>Qxg7+</MOVE>,g4g7,h2h3,8,Mistake,True,13,-11
,2b1rrk1/6pp/2nqp3/p2p4/3P1pQ1/P1P5/1P1B1PPP/1B2R1K1 w - - 6 26,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see the black pawn on f4 is hanging, so I will take it right away. <MOVE>Qxf4</MOVE>",g4f4,g4g5,5,Mistake,True,3,-8
,r1bqkbnr/p2p2pp/p1p5/P3pp2/R4P2/4P3/1PPP2PP/1NBQK1NR b Kkq - 0 6,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"I will capture the hanging pawn on a5, gaining material and increasing pressure on White’s queenside. <MOVE>Qxa5</MOVE>",d8a5,e5f4,8,Mistake,True,3,-17
,r1bqkbnr/p2p2pp/p1p5/P3pp2/R4P2/4P3/1PPP2PP/1NBQK1NR b Kkq - 0 6,OpenRouter (openai/gpt-oss-120b:free),Defensive,I need to shore up the pawn on f5 that is under attack while keeping my king safe. <MOVE>g6</MOVE>,g7g6,e5f4,1,Best/Good,True,2,-25
,r1bqkbnr/p2p2pp/p1p5/P3pp2/R4P2/4P3/1PPP2PP/1NBQK1NR b Kkq - 0 6,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I see a direct check that forces the white king into trouble and opens lines for my pieces. <MOVE>Qh4+</MOVE>,d8h4,e5f4,1,Best/Good,True,18,-23
,r1bqkbnr/p2p2pp/p1p5/P3pp2/R4P2/4P3/1PPP2PP/1NBQK1NR b Kkq - 0 6,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,I see a white pawn I can take right away. <MOVE>Qxa5</MOVE>,d8a5,e5f4,8,Mistake,True,3,-17
,r2qk2r/3bn2p/5p2/p1RPp1p1/1p2P3/1P3N1P/3Q1PP1/RB4K1 b kq - 0 26,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"Castling will safeguard my king and connect the rooks, preparing to address the white rooks later. <MOVE>O-O</MOVE>",e8g8,e8f7,0,Best/Good,True,0,-22
,r2qk2r/3bn2p/5p2/p1RPp1p1/1p2P3/1P3N1P/3Q1PP1/RB4K1 b kq - 0 26,OpenRouter (openai/gpt-oss-120b:free),Defensive,"I will prioritize king safety by castling, bringing the rook into play and keeping a solid structure. <MOVE>O-O</MOVE>",e8g8,e8f8,0,Best/Good,True,0,-22
,r2qk2r/3bn2p/5p2/p1RPp1p1/1p2P3/1P3N1P/3Q1PP1/RB4K1 b kq - 0 26,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I can grab material and open lines to the white king by taking the rook on c5. <MOVE>Bxc5</MOVE>,Bxc5,,,N/A,False,12,-16
,r2qk2r/3bn2p/5p2/p1RPp1p1/1p2P3/1P3N1P/3Q1PP1/RB4K1 b kq - 0 26,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,I see an undefended white pawn on d5 that I can take right away. <MOVE>Nxd5</MOVE>,e7d5,a8a7,4,Mistake,True,3,-22
,rnbqk1nr/ppppppbp/6p1/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I want to challenge White’s central presence and hit the bishop on c4 while opening lines for my pieces. <MOVE>d5</MOVE>,d7d5,g7f6,1,Best/Good,True,8,-22
,rnbqk1nr/ppppppbp/6p1/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,OpenRouter (openai/gpt-oss-120b:free),Defensive,"I will develop a piece to a safe square, reinforcing control of the centre and protecting key squares. <MOVE>Nf6</MOVE>",g8f6,b8c6,0,Best/Good,True,7,-30
,rnbqk1nr/ppppppbp/6p1/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,OpenRouter (openai/gpt-oss-120b:free),Aggressive,"I want to open the center and hit White’s active pieces, especially the bishop on c4 and the pawn on e4. <MOVE>d5</MOVE>",d7d5,e7e6,1,Best/Good,True,8,-22
,rnbqk1nr/ppppppbp/6p1/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see a chance to take a white pawn, so I will capture it. <MOVE>Bxb2</MOVE>",g7b2,e8f8,2,Best/Good,True,11,-20
,8/p1p5/4R1k1/6p1/8/8/rrPK4/8 b - - 0 34,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,Staying central and keeping the king safe while maintaining coordination with my pieces is the priority. <MOVE>Kg7</MOVE>,g6g7,g6f7,0,Best/Good,True,2,-2
,8/p1p5/4R1k1/6p1/8/8/rrPK4/8 b - - 0 34,OpenRouter (openai/gpt-oss-120b:free),Defensive,I need to get the king out of the rook’s line of attack while staying close to my own pieces. <MOVE>Kg7</MOVE>,g6g7,g6h7,0,Best/Good,True,2,-2
,8/p1p5/4R1k1/6p1/8/8/rrPK4/8 b - - 0 34,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I want to bring my king closer to the enemy rook and create immediate threats on White’s back rank. <MOVE>Kf5</MOVE>,g6f5,g6f7,0,Best/Good,True,9,2
,8/p1p5/4R1k1/6p1/8/8/rrPK4/8 b - - 0 34,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I have no immediate capture, so I’ll move my king closer to the enemy rook. <MOVE>Kg7</MOVE>",g6g7,g6h5,0,Best/Good,True,2,-2
,r3kbnr/p3pppp/2pp4/q1p2b2/5P2/1P2PN2/PBPP2PP/RN1QK2R b KQkq - 2 7,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"Castling long will safeguard my king, connect the rooks and keep the position solid. <MOVE>O-O-O</MOVE>",e8c8,h7h6,0,Best/Good,True,0,-23
,r3kbnr/p3pppp/2pp4/q1p2b2/5P2/1P2PN2/PBPP2PP/RN1QK2R b KQkq - 2 7,OpenRouter (openai/gpt-oss-120b:free),Defensive,"I will prioritize king safety by castling long, keeping a solid pawn structure and avoiding any unnecessary complications. <MOVE>O-O-O</MOVE>",e8c8,e8d8,0,Best/Good,True,0,-23
,r3kbnr/p3pppp/2pp4/q1p2b2/5P2/1P2PN2/PBPP2PP/RN1QK2R b KQkq - 2 7,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I can seize the initiative by delivering a check and winning material deep in White’s camp. <MOVE>Qxd2+</MOVE>,a5d2,f5e4,8,Mistake,True,9,-18
,r3kbnr/p3pppp/2pp4/q1p2b2/5P2/1P2PN2/PBPP2PP/RN1QK2R b KQkq - 2 7,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see the white pawn on a2 is hanging and not defended, so I must take it. <MOVE>Qxa2</MOVE>",a5a2,a8c8,8,Mistake,True,6,-9
,3kbQn1/rppBr3/6p1/8/p6p/P1N1BN2/1PP2PPP/5RK1 w - - 0 27,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I see a forced win by sacrificing the bishop on d7 to draw off the defender and then recapturing the rook. <MOVE>Bxe8+</MOVE>,d7e8,e3a7,5,Mistake,True,18,6
,3kbQn1/rppBr3/6p1/8/p6p/P1N1BN2/1PP2PPP/5RK1 w - - 0 27,OpenRouter (openai/gpt-oss-120b:free),Defensive,"I will simplify by removing the enemy bishop that is protecting the king and give a check, keeping my position solid. <MOVE>Qxe8+</MOVE>",f8e8,e3a7,9,Blunder,True,9,6
,3kbQn1/rppBr3/6p1/8/p6p/P1N1BN2/1PP2PPP/5RK1 w - - 0 27,OpenRouter (openai/gpt-oss-120b:free),Aggressive,"I can grab the bishop on e8 with check, forcing the king to react and keeping the attack alive. <MOVE>Qxe8+</MOVE>",f8e8,e3a7,9,Blunder,True,9,6
,3kbQn1/rppBr3/6p1/8/p6p/P1N1BN2/1PP2PPP/5RK1 w - - 0 27,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see the black knight on g8 is not defended, so I will take it. <MOVE>Qxg8+</MOVE>",f8g8,e3a7,3,Mistake,True,16,4
,r4b1r/pp2pkpp/2n2n2/2pq4/8/2Pb1P2/PP1PN1PP/RNBQ1RK1 w - - 5 9,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I want to gain a tempo by attacking Black’s queen while developing my knight to a more active square. <MOVE>Nf4</MOVE>,e2f4,e2f4,0,Best/Good,True,9,-30
,r4b1r/pp2pkpp/2n2n2/2pq4/8/2Pb1P2/PP1PN1PP/RNBQ1RK1 w - - 5 9,OpenRouter (openai/gpt-oss-120b:free),Defensive,"I will develop a piece that also attacks the opponent’s queen, keeping my king safe and maintaining a solid structure. <MOVE>Nd4</MOVE>",e2d4,e2f4,6,Mistake,True,4,-34
,r4b1r/pp2pkpp/2n2n2/2pq4/8/2Pb1P2/PP1PN1PP/RNBQ1RK1 w - - 5 9,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I want to hit the black queen and create threats on the center while activating my knight. <MOVE>Nd4</MOVE>,e2d4,e2f4,6,Mistake,True,4,-34
,r4b1r/pp2pkpp/2n2n2/2pq4/8/2Pb1P2/PP1PN1PP/RNBQ1RK1 w - - 5 9,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see no enemy piece that is left hanging, so I’ll develop a piece and put pressure on the queen. <MOVE>Nd4</MOVE>",e2d4,e2f4,6,Mistake,True,4,-34
,8/6R1/1kp3p1/7p/5K2/7P/8/6r1 b - - 2 39,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,A forcing rook check limits the white king’s options and creates mating threats. <MOVE>Rg4+</MOVE>,g1g4,h5h4,5,Mistake,True,9,-1
,8/6R1/1kp3p1/7p/5K2/7P/8/6r1 b - - 2 39,OpenRouter (openai/gpt-oss-120b:free),Defensive,I will improve my king’s safety by stepping it toward the centre while keeping a solid pawn structure. <MOVE>Kc5</MOVE>,b6c5,b6a5,0,Best/Good,True,4,-3
,8/6R1/1kp3p1/7p/5K2/7P/8/6r1 b - - 2 39,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I will drive the rook forward to give a direct check and force the white king into a vulnerable position. <MOVE>Rg4+</MOVE>,g1g4,b6c5,5,Mistake,True,9,-1
,8/6R1/1kp3p1/7p/5K2/7P/8/6r1 b - - 2 39,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see no enemy piece I can capture right now, so I’ll bring my king closer to the white rook. <MOVE>Kc5</MOVE>",b6c5,b6c5,0,Best/Good,True,4,-3
,r3kbnr/ppp2ppp/2B5/2q5/3p1P2/3PB3/PPP2KPP/RN1Q3R b kq - 0 10,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I should eliminate the checking bishop while keeping my queen active. <MOVE>Qxc6</MOVE>,c5c6,b7c6,2,Best/Good,True,12,-19
,r3kbnr/ppp2ppp/2B5/2q5/3p1P2/3PB3/PPP2KPP/RN1Q3R b kq - 0 10,OpenRouter (openai/gpt-oss-120b:free),Defensive,I should eliminate the attacking bishop while keeping my queen safe and maintaining a solid pawn structure. <MOVE>bxc6</MOVE>,b7c6,b7c6,0,Best/Good,True,7,-23
,r3kbnr/ppp2ppp/2B5/2q5/3p1P2/3PB3/PPP2KPP/RN1Q3R b kq - 0 10,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I must eliminate the strong white bishop on c6 and keep my queen active in the centre. <MOVE>Qxc6</MOVE>,c5c6,b7c6,2,Best/Good,True,12,-19
,r3kbnr/ppp2ppp/2B5/2q5/3p1P2/3PB3/PPP2KPP/RN1Q3R b kq - 0 10,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,I see an undefended enemy bishop that I can take right away. <MOVE>Qxc6</MOVE>,c5c6,b7c6,2,Best/Good,True,12,-19
,8/3p1rkp/6p1/5p2/RQ1P4/4P1P1/p4PKP/1q6 w - - 2 38,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"I can win material by taking the enemy queen on b8 with my queen, removing a key defender and gaining a decisive advantage. <MOVE>Qxb8</MOVE>",Qxb8,,,N/A,False,6,-13
,8/3p1rkp/6p1/5p2/RQ1P4/4P1P1/p4PKP/1q6 w - - 2 38,OpenRouter (openai/gpt-oss-120b:free),Defensive,I will improve king safety by stepping it away from the centre while keeping the position solid. <MOVE>Kh3</MOVE>,g2h3,b4c5,0,Best/Good,True,3,-9
,8/3p1rkp/6p1/5p2/RQ1P4/4P1P1/p4PKP/1q6 w - - 2 38,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I’ll bring the rook into the enemy’s back rank to attack the queen and create threats. <MOVE>Ra8</MOVE>,a4a8,b4d6,1,Best/Good,True,9,-7
,8/3p1rkp/6p1/5p2/RQ1P4/4P1P1/p4PKP/1q6 w - - 2 38,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see a black pawn on a2 that I can take right now, so I will capture it. <MOVE>Rxa2</MOVE>",a4a2,b4b5,0,Best/Good,True,5,-9
,8/pp4kp/2Br1p2/4p3/7N/4P1P1/7P/6K1 b - - 0 35,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I can win material by capturing the white bishop with my pawn. <MOVE>bxc6</MOVE>,b7c6,d6d1,5,Mistake,True,6,-7
,8/pp4kp/2Br1p2/4p3/7N/4P1P1/7P/6K1 b - - 0 35,OpenRouter (openai/gpt-oss-120b:free),Defensive,I will keep my rook protected and maintain a solid defensive posture. <MOVE>Rd7</MOVE>,d6d7,d6d1,8,Mistake,True,1,-7
,8/pp4kp/2Br1p2/4p3/7N/4P1P1/7P/6K1 b - - 0 35,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I must eliminate the white bishop to open lines and keep the initiative. <MOVE>Rxc6</MOVE>,d6c6,d6d1,0,Best/Good,True,6,-7
,8/pp4kp/2Br1p2/4p3/7N/4P1P1/7P/6K1 b - - 0 35,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see the white bishop on c6 is hanging, so I must take it. <MOVE>Rxc6</MOVE>",d6c6,d6d1,0,Best/Good,True,6,-7
,rn1qk2r/pbpp1p2/1p2pNpQ/4P1B1/n1PP4/P2B4/2P2PPP/R3K2R b KQ - 6 18,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,Capturing the checking knight both removes the immediate threat and keeps the king safe while developing my queen. <MOVE>Qxf6</MOVE>,d8f6,d8f6,0,Best/Good,True,2,-15
,rn1qk2r/pbpp1p2/1p2pNpQ/4P1B1/n1PP4/P2B4/2P2PPP/R3K2R b KQ - 6 18,OpenRouter (openai/gpt-oss-120b:free),Defensive,I must eliminate the checking piece to keep my king safe and maintain a solid position. <MOVE>Qxf6</MOVE>,d8f6,d8f6,0,Best/Good,True,2,-15
,rn1qk2r/pbpp1p2/1p2pNpQ/4P1B1/n1PP4/P2B4/2P2PPP/R3K2R b KQ - 6 18,OpenRouter (openai/gpt-oss-120b:free),Aggressive,"I’ll eliminate the invading knight and unleash my queen against the white queen, gaining material and keeping the attack alive. <MOVE>Qxf6</MOVE>",d8f6,d8f6,0,Best/Good,True,2,-15
,rn1qk2r/pbpp1p2/1p2pNpQ/4P1B1/n1PP4/P2B4/2P2PPP/R3K2R b KQ - 6 18,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see the white knight on f6 is hanging, so I must take it. <MOVE>Qxf6</MOVE>",d8f6,d8f6,0,Best/Good,True,2,-15
,2k5/ppp2p2/8/8/4P2P/2P3Pq/PP6/R4RK1 b - - 0 24,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"I will grab the hanging pawn and keep the pressure, also setting up a mating threat on g3. <MOVE>Qxh4</MOVE>",h3h4,h3g3,11,Blunder,True,7,-14
,2k5/ppp2p2/8/8/4P2P/2P3Pq/PP6/R4RK1 b - - 0 24,OpenRouter (openai/gpt-oss-120b:free),Defensive,Capturing the hanging pawn improves my material while keeping the queen safe and maintaining a solid position. <MOVE>Qxh4</MOVE>,h3h4,h3g3,11,Blunder,True,7,-14
,2k5/ppp2p2/8/8/4P2P/2P3Pq/PP6/R4RK1 b - - 0 24,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I’ll deliver a direct check to force the white king into a vulnerable position and keep the attack rolling. <MOVE>Qg2+</MOVE>,h3g2,h3g3,12,Blunder,True,9,-10
,2k5/ppp2p2/8/8/4P2P/2P3Pq/PP6/R4RK1 b - - 0 24,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see a white pawn on h4 that I can take with my queen, so I will capture it. <MOVE>Qxh4</MOVE>",h3h4,h3g3,11,Blunder,True,7,-14
,rn1qkb1r/ppp1pp1p/5np1/3P4/6b1/2NQ4/PPP3PP/R1B1KBNR b KQkq - 2 7,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"I’ll improve my position by pulling the queen back to a safer square, keeping flexibility and avoiding any immediate tactics. <MOVE>Qc8</MOVE>",d8c8,g4c8,2,Best/Good,True,0,-28
,rn1qkb1r/ppp1pp1p/5np1/3P4/6b1/2NQ4/PPP3PP/R1B1KBNR b KQkq - 2 7,OpenRouter (openai/gpt-oss-120b:free),Defensive,I’ll develop a piece while keeping the position solid and protecting key squares. <MOVE>Nbd7</MOVE>,b8d7,g4d7,2,Best/Good,True,1,-28
,rn1qkb1r/ppp1pp1p/5np1/3P4/6b1/2NQ4/PPP3PP/R1B1KBNR b KQkq - 2 7,OpenRouter (openai/gpt-oss-120b:free),Aggressive,"I’ll eliminate the advanced pawn and activate my knight, keeping pressure on White’s centre. <MOVE>Nxd5</MOVE>",f6d5,g4d7,2,Best/Good,True,12,-24
,rn1qkb1r/ppp1pp1p/5np1/3P4/6b1/2NQ4/PPP3PP/R1B1KBNR b KQkq - 2 7,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,I see a white pawn I can take right now. <MOVE>Nxd5</MOVE>,f6d5,g4c8,2,Best/Good,True,12,-24
,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,Developing a knight attacks the central e5 pawn and prepares quick kingside castling. <MOVE>Nf3</MOVE>,g1f3,d1f3,0,Best/Good,True,7,-28
,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,OpenRouter (openai/gpt-oss-120b:free),Defensive,I will reinforce my central pawn structure and prepare safe development. <MOVE>d3</MOVE>,d2d3,d1e2,0,Best/Good,True,2,-32
,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I want to launch a direct attack on the king and pressure the e5 pawn with a checking move. <MOVE>Qh5+</MOVE>,d1h5,f2f4,0,Best/Good,True,12,-18
,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see no hanging enemy piece to take, so I’ll just develop a piece. <MOVE>Nf3</MOVE>",g1f3,d1h5,0,Best/Good,True,7,-28
,2krq3/p1p2prp/npnp1N2/8/3P4/2P5/PP2Q1PP/R1B2RK1 w - - 6 18,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"I see a forced winning tactic by sacrificing the knight on e8 to draw the rook away and then capture it with the queen, delivering a decisive check. <MOVE>Nxe8+</MOVE>",f6e8,f6e8,0,Best/Good,True,17,2
